***********************************************************
******Simulation Results Single Damper System**************

Time	Disp	Vel	Acc	Force
0.57000000	-54.13053015	-0.12021396	0.29471854	-42.05956484
0.57200000	-53.88952108	-0.11961220	0.30700412	-43.71700191
0.57400000	-53.64969083	-0.11898606	0.31910220	-45.34856956
0.57600000	-53.41108853	-0.11833592	0.33101146	-46.95409468
0.57800000	-53.17376258	-0.11766214	0.34273062	-48.53341226
0.58000000	-52.93776061	-0.11696512	0.35425848	-50.08636530
0.58200000	-52.70312949	-0.11624524	0.36559391	-51.61280478
0.58400000	-52.46991535	-0.11550288	0.37673580	-53.11258964
0.58600000	-52.23816352	-0.11473843	0.38768314	-54.58558675
0.58800000	-52.00791857	-0.11395227	0.39843494	-56.03167085
0.59000000	-51.77922428	-0.11314482	0.40899030	-57.45072452
0.59200000	-51.55212367	-0.11231645	0.41934835	-58.84263816
0.59400000	-51.32665896	-0.11146756	0.42950831	-60.20730989
0.59600000	-51.10287157	-0.11059854	0.43946942	-61.54464557
0.59800000	-50.88080215	-0.10970981	0.44923099	-62.85455872
0.60000000	-50.66049054	-0.10880175	0.45879240	-64.13697047
0.60200000	-50.44197578	-0.10787477	0.46815307	-65.39180952
0.60400000	-50.22529614	-0.10692928	0.47731248	-66.61901209
0.60600000	-50.01048903	-0.10596566	0.48627016	-67.81852187
0.60800000	-49.79759111	-0.10498433	0.49502571	-68.99028996
0.61000000	-49.58663820	-0.10398569	0.50357876	-70.13427480
0.61200000	-49.37766533	-0.10297015	0.51192901	-71.25044217
0.61400000	-49.17070670	-0.10193811	0.52007622	-72.33876506
0.61600000	-48.96579573	-0.10088998	0.52802018	-73.39922366
0.61800000	-48.76296499	-0.09982617	0.53576076	-74.43180528
0.62000000	-48.56224626	-0.09874707	0.54329785	-75.43650430
0.62200000	-48.36367051	-0.09765311	0.55063142	-76.41332210
0.62400000	-48.16726788	-0.09654468	0.55776148	-77.36226700
0.62600000	-47.97306771	-0.09542220	0.56468808	-78.28335418
0.62800000	-47.78109852	-0.09428607	0.57141134	-79.17660565
0.63000000	-47.59138801	-0.09313669	0.57793143	-80.04205014
0.63200000	-47.40396308	-0.09197448	0.58424854	-80.87972307
