"ADAMS/View model name: TP_6572N_vRoad_N45_nlParameter"
	"2016-04-"	"9 16:19:45"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"DYSensor4_MR4_ver"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

"TIME      "	"Q         "
7.790000e-001	4.774084e+000
7.800000e-001	4.784858e+000
7.810000e-001	4.795420e+000
7.820000e-001	4.805753e+000
7.830000e-001	4.815839e+000
7.840000e-001	4.825662e+000
7.850000e-001	4.835206e+000
7.860000e-001	4.844452e+000
7.870000e-001	4.853386e+000
7.880000e-001	4.861970e+000
7.890000e-001	4.870168e+000
7.900000e-001	4.878061e+000
7.910000e-001	4.885579e+000
7.920000e-001	4.892707e+000
7.930000e-001	4.899427e+000
7.940000e-001	4.905727e+000
7.950000e-001	4.911594e+000
7.960000e-001	4.917017e+000
7.970000e-001	4.921981e+000
7.980000e-001	4.926473e+000
7.990000e-001	4.930481e+000
8.000000e-001	4.933991e+000
8.010000e-001	4.936993e+000
8.020000e-001	4.939475e+000
8.030000e-001	4.941427e+000
8.040000e-001	4.942839e+000
8.050000e-001	4.943700e+000
8.060000e-001	4.944002e+000
8.070000e-001	4.943736e+000
8.080000e-001	4.942894e+000
8.090000e-001	4.941401e+000
8.100000e-001	4.939286e+000
8.110000e-001	4.936575e+000
8.120000e-001	4.933333e+000
8.130000e-001	4.929520e+000
8.140000e-001	4.925098e+000
8.150000e-001	4.920066e+000
8.160000e-001	4.914395e+000
8.170000e-001	4.908106e+000
8.180000e-001	4.901231e+000
8.190000e-001	4.893744e+000
8.200000e-001	4.885658e+000
8.210000e-001	4.876989e+000
8.220000e-001	4.867762e+000
8.230000e-001	4.858001e+000
8.240000e-001	4.847728e+000
8.250000e-001	4.836964e+000
8.260000e-001	4.825724e+000
8.270000e-001	4.814023e+000
8.280000e-001	4.801876e+000
8.290000e-001	4.789297e+000
8.300000e-001	4.776303e+000
8.310000e-001	4.762910e+000
8.320000e-001	4.749136e+000
8.330000e-001	4.734999e+000
8.340000e-001	4.720517e+000
8.350000e-001	4.705709e+000
8.360000e-001	4.690593e+000
8.365722e-001	4.681812e+000
8.368735e-001	4.677152e+000
8.370000e-001	4.675188e+000
8.371548e-001	4.672778e+000
8.380000e-001	4.659520e+000
8.390000e-001	4.643626e+000
8.400000e-001	4.627561e+000
8.410000e-001	4.611393e+000
8.420000e-001	4.595180e+000
8.430000e-001	4.578976e+000
8.440000e-001	4.562828e+000
8.450000e-001	4.546773e+000
8.460000e-001	4.530846e+000
8.470000e-001	4.515081e+000
8.480000e-001	4.499517e+000
8.490000e-001	4.484191e+000
8.500000e-001	4.469142e+000
8.510000e-001	4.454408e+000
8.520000e-001	4.440025e+000
8.530000e-001	4.426029e+000
8.540000e-001	4.412454e+000
8.550000e-001	4.399330e+000
8.560000e-001	4.386687e+000
8.570000e-001	4.374553e+000
8.580000e-001	4.362955e+000
8.590000e-001	4.351915e+000
8.600000e-001	4.341457e+000
8.610000e-001	4.331602e+000
8.620000e-001	4.322368e+000
8.630000e-001	4.313772e+000
8.640000e-001	4.305831e+000
8.650000e-001	4.298558e+000
8.660000e-001	4.291964e+000
8.670000e-001	4.286060e+000
8.680000e-001	4.280854e+000
8.690000e-001	4.276368e+000
8.700000e-001	4.272657e+000
8.710000e-001	4.269695e+000
8.720000e-001	4.267329e+000
8.730000e-001	4.265676e+000
8.740000e-001	4.264733e+000
8.750000e-001	4.264498e+000
8.760000e-001	4.264963e+000
8.770000e-001	4.266122e+000
8.780000e-001	4.267966e+000
8.790000e-001	4.270484e+000
8.800000e-001	4.273664e+000
8.810000e-001	4.277491e+000
8.820000e-001	4.281951e+000
8.830000e-001	4.287026e+000
8.840000e-001	4.292696e+000
8.850000e-001	4.298942e+000
8.860000e-001	4.305741e+000
8.870000e-001	4.313070e+000
8.880000e-001	4.320904e+000
8.890000e-001	4.329217e+000
8.900000e-001	4.337981e+000
8.910000e-001	4.347166e+000
8.920000e-001	4.356744e+000
8.930000e-001	4.366682e+000
8.940000e-001	4.376949e+000
8.950000e-001	4.387510e+000
8.960000e-001	4.398331e+000
8.970000e-001	4.409404e+000
8.980000e-001	4.420664e+000
8.990000e-001	4.432060e+000
9.000000e-001	4.443574e+000
9.010000e-001	4.455171e+000
9.020000e-001	4.466815e+000
9.030000e-001	4.478464e+000
9.040000e-001	4.490081e+000
9.050000e-001	4.501627e+000
9.060000e-001	4.513065e+000
9.070000e-001	4.524366e+000
9.080000e-001	4.535501e+000
9.090000e-001	4.546461e+000
9.100000e-001	4.557241e+000
9.110000e-001	4.567845e+000
9.120000e-001	4.578273e+000
9.130000e-001	4.588520e+000
9.140000e-001	4.598575e+000
9.150000e-001	4.608422e+000
9.160000e-001	4.618041e+000
9.170000e-001	4.627413e+000
9.176504e-001	4.633365e+000
9.179495e-001	4.636064e+000
9.180000e-001	4.636518e+000
9.182323e-001	4.638594e+000
9.190000e-001	4.645347e+000
9.200000e-001	4.653899e+000
9.210000e-001	4.662187e+000
9.220000e-001	4.670235e+000
9.230000e-001	4.678066e+000
9.240000e-001	4.685694e+000
9.250000e-001	4.693125e+000
9.260000e-001	4.700360e+000
9.270000e-001	4.707399e+000
9.280000e-001	4.714241e+000
9.290000e-001	4.720890e+000
9.300000e-001	4.727348e+000
9.310000e-001	4.733622e+000
9.320000e-001	4.739715e+000
9.330000e-001	4.745632e+000
9.340000e-001	4.751376e+000
9.350000e-001	4.756948e+000
9.360000e-001	4.762348e+000
9.370000e-001	4.767577e+000
9.380000e-001	4.772633e+000
9.390000e-001	4.777515e+000
9.400000e-001	4.782221e+000
9.410000e-001	4.786749e+000
9.420000e-001	4.791094e+000
9.430000e-001	4.795249e+000
9.440000e-001	4.799225e+000
9.450000e-001	4.803011e+000
9.460000e-001	4.806604e+000
9.470000e-001	4.809999e+000
9.480000e-001	4.813192e+000
9.490000e-001	4.816176e+000
9.500000e-001	4.818942e+000
9.510000e-001	4.821494e+000
9.520000e-001	4.823818e+000
9.530000e-001	4.825908e+000
9.540000e-001	4.827755e+000
9.550000e-001	4.829353e+000
9.560000e-001	4.830692e+000
9.570000e-001	4.831764e+000
9.580000e-001	4.832563e+000
9.590000e-001	4.833077e+000
9.600000e-001	4.833300e+000
9.610000e-001	4.833221e+000
9.620000e-001	4.832830e+000
9.630000e-001	4.832116e+000
9.640000e-001	4.831070e+000
9.650000e-001	4.829664e+000
9.660000e-001	4.827897e+000
9.670000e-001	4.825785e+000
9.680000e-001	4.823298e+000
9.690000e-001	4.820425e+000
9.700000e-001	4.817155e+000
9.710000e-001	4.813476e+000
9.720000e-001	4.809377e+000
9.730000e-001	4.804847e+000
9.740000e-001	4.799856e+000
9.750000e-001	4.794435e+000
9.760000e-001	4.788561e+000
9.770000e-001	4.782233e+000
9.780000e-001	4.775462e+000
9.790000e-001	4.768267e+000
9.800000e-001	4.760674e+000
9.810000e-001	4.752708e+000
9.820000e-001	4.744388e+000
9.830000e-001	4.735729e+000
9.840000e-001	4.726742e+000
9.850000e-001	4.717434e+000
9.860000e-001	4.707813e+000
9.870000e-001	4.697887e+000
9.880000e-001	4.687665e+000
9.889722e-001	4.677449e+000
9.890000e-001	4.677153e+000
9.892340e-001	4.674653e+000
9.895195e-001	4.671584e+000
9.900000e-001	4.666371e+000
9.910000e-001	4.655347e+000
9.920000e-001	4.644123e+000
9.930000e-001	4.632768e+000
9.940000e-001	4.621344e+000
9.950000e-001	4.609906e+000
9.960000e-001	4.598498e+000
9.970000e-001	4.587154e+000
9.980000e-001	4.575903e+000
9.990000e-001	4.564773e+000
1.000000e+000	4.553797e+000
1.001000e+000	4.543006e+000
1.002000e+000	4.532434e+000
1.003000e+000	4.522114e+000
1.004000e+000	4.512077e+000
1.005000e+000	4.502351e+000
1.006000e+000	4.492961e+000
1.007000e+000	4.483931e+000
1.008000e+000	4.475281e+000
1.009000e+000	4.467030e+000
1.010000e+000	4.459195e+000
1.011000e+000	4.451790e+000
1.012000e+000	4.444841e+000
1.013000e+000	4.438349e+000
1.014000e+000	4.432390e+000
1.015000e+000	4.426914e+000
1.016000e+000	4.421918e+000
1.017000e+000	4.417407e+000
1.018000e+000	4.413399e+000
1.019000e+000	4.409849e+000
1.020000e+000	4.406823e+000
1.021000e+000	4.404275e+000
1.022000e+000	4.402200e+000
1.023000e+000	4.400533e+000
1.024000e+000	4.399266e+000
1.025000e+000	4.398448e+000
1.026000e+000	4.398065e+000
1.027000e+000	4.398102e+000
1.028000e+000	4.398543e+000
1.029000e+000	4.399372e+000
1.030000e+000	4.400569e+000
1.031000e+000	4.402111e+000
1.032000e+000	4.403978e+000
1.033000e+000	4.406197e+000
1.034000e+000	4.408666e+000
1.035000e+000	4.411365e+000
1.036000e+000	4.414279e+000
1.037000e+000	4.417390e+000
1.038000e+000	4.420667e+000
1.039000e+000	4.424079e+000
1.040000e+000	4.427595e+000
1.041000e+000	4.431186e+000
1.042000e+000	4.434816e+000
1.043000e+000	4.438458e+000
1.044000e+000	4.442091e+000
1.045000e+000	4.445704e+000
1.046000e+000	4.449302e+000
1.047000e+000	4.452894e+000
1.048000e+000	4.456495e+000
1.049000e+000	4.460110e+000
1.050000e+000	4.463740e+000
1.050061e+000	4.463960e+000
1.050340e+000	4.464977e+000
1.050595e+000	4.465903e+000
1.051000e+000	4.467379e+000
1.052000e+000	4.471035e+000
1.053000e+000	4.474728e+000
1.054000e+000	4.478500e+000
1.055000e+000	4.482391e+000
1.056000e+000	4.486437e+000
1.057000e+000	4.490656e+000
1.058000e+000	4.495058e+000
1.059000e+000	4.499644e+000
1.060000e+000	4.504417e+000
1.061000e+000	4.509381e+000
1.062000e+000	4.514543e+000
1.063000e+000	4.519911e+000
1.064000e+000	4.525492e+000
1.065000e+000	4.531293e+000
1.066000e+000	4.537318e+000
1.067000e+000	4.543568e+000
1.068000e+000	4.550040e+000
1.069000e+000	4.556729e+000
1.070000e+000	4.563630e+000
1.071000e+000	4.570733e+000
1.072000e+000	4.578028e+000
1.073000e+000	4.585508e+000
1.074000e+000	4.593156e+000
1.075000e+000	4.600959e+000
1.076000e+000	4.608885e+000
1.077000e+000	4.616931e+000
1.078000e+000	4.625081e+000
1.079000e+000	4.633316e+000
1.080000e+000	4.641615e+000
1.081000e+000	4.649958e+000
1.082000e+000	4.658320e+000
1.083000e+000	4.666675e+000
1.084000e+000	4.674999e+000
1.085000e+000	4.683265e+000
1.086000e+000	4.691444e+000
1.087000e+000	4.699503e+000
1.088000e+000	4.707402e+000
1.089000e+000	4.715117e+000
1.090000e+000	4.722610e+000
1.091000e+000	4.729860e+000
1.092000e+000	4.736883e+000
1.093000e+000	4.743605e+000
1.094000e+000	4.749996e+000
1.095000e+000	4.756015e+000
1.096000e+000	4.761644e+000
1.097000e+000	4.766846e+000
1.098000e+000	4.771598e+000
1.099000e+000	4.775886e+000
1.100000e+000	4.779713e+000
1.101000e+000	4.783092e+000
1.102000e+000	4.786041e+000
1.103000e+000	4.788573e+000
1.104000e+000	4.790693e+000
1.105000e+000	4.792399e+000
1.106000e+000	4.793683e+000
1.107000e+000	4.794536e+000
1.108000e+000	4.794946e+000
1.109000e+000	4.794905e+000
1.109890e+000	4.794475e+000
1.110000e+000	4.794397e+000
1.110141e+000	4.794289e+000
1.110431e+000	4.794039e+000
1.111000e+000	4.793436e+000
1.112000e+000	4.792031e+000
1.113000e+000	4.790217e+000
1.114000e+000	4.788050e+000
1.115000e+000	4.785581e+000
1.116000e+000	4.782853e+000
1.117000e+000	4.779896e+000
1.118000e+000	4.776728e+000
1.119000e+000	4.773365e+000
1.120000e+000	4.769824e+000
1.121000e+000	4.766122e+000
1.122000e+000	4.762283e+000
1.123000e+000	4.758326e+000
1.124000e+000	4.754274e+000
1.125000e+000	4.750144e+000
1.126000e+000	4.745952e+000
1.127000e+000	4.741712e+000
1.128000e+000	4.737433e+000
1.129000e+000	4.733127e+000
1.130000e+000	4.728799e+000
1.131000e+000	4.724457e+000
1.132000e+000	4.720107e+000
1.133000e+000	4.715749e+000
1.134000e+000	4.711387e+000
1.135000e+000	4.707018e+000
1.136000e+000	4.702643e+000
1.137000e+000	4.698257e+000
1.138000e+000	4.693857e+000
1.139000e+000	4.689437e+000
1.140000e+000	4.684989e+000
1.141000e+000	4.680505e+000
1.142000e+000	4.675969e+000
1.143000e+000	4.671376e+000
1.144000e+000	4.666714e+000
1.145000e+000	4.661967e+000
1.146000e+000	4.657121e+000
1.147000e+000	4.652157e+000
1.148000e+000	4.647057e+000
1.149000e+000	4.641802e+000
1.150000e+000	4.636363e+000
1.151000e+000	4.630741e+000
1.152000e+000	4.624910e+000
1.153000e+000	4.618862e+000
1.154000e+000	4.612601e+000
1.155000e+000	4.606143e+000
1.156000e+000	4.599514e+000
1.157000e+000	4.592741e+000
1.158000e+000	4.585845e+000
1.159000e+000	4.578840e+000
1.160000e+000	4.571731e+000
1.160682e+000	4.566822e+000
1.160936e+000	4.564984e+000
1.161000e+000	4.564520e+000
1.161195e+000	4.563105e+000
1.162000e+000	4.557218e+000
1.163000e+000	4.549854e+000
1.164000e+000	4.542483e+000
1.165000e+000	4.535182e+000
1.166000e+000	4.528017e+000
1.167000e+000	4.521040e+000
1.168000e+000	4.514285e+000
1.169000e+000	4.507774e+000
1.170000e+000	4.501527e+000
1.171000e+000	4.495562e+000
1.172000e+000	4.489903e+000
1.173000e+000	4.484576e+000
1.174000e+000	4.479604e+000
1.175000e+000	4.475013e+000
1.176000e+000	4.470821e+000
1.177000e+000	4.467045e+000
1.178000e+000	4.463698e+000
1.179000e+000	4.460802e+000
1.180000e+000	4.458324e+000
1.181000e+000	4.456280e+000
1.182000e+000	4.454670e+000
1.183000e+000	4.453492e+000
1.184000e+000	4.452740e+000
1.185000e+000	4.452407e+000
1.186000e+000	4.452481e+000
1.187000e+000	4.452952e+000
1.188000e+000	4.453803e+000
1.189000e+000	4.455019e+000
1.190000e+000	4.456578e+000
1.191000e+000	4.458459e+000
1.192000e+000	4.460637e+000
1.193000e+000	4.463083e+000
1.194000e+000	4.465769e+000
1.195000e+000	4.468665e+000
1.196000e+000	4.471740e+000
1.197000e+000	4.474961e+000
1.198000e+000	4.478290e+000
1.199000e+000	4.481690e+000
1.200000e+000	4.485122e+000
1.201000e+000	4.488547e+000
1.202000e+000	4.491932e+000
1.203000e+000	4.495251e+000
1.204000e+000	4.498490e+000
1.205000e+000	4.501653e+000
1.206000e+000	4.504753e+000
1.207000e+000	4.507808e+000
1.208000e+000	4.510827e+000
1.209000e+000	4.513812e+000
1.209235e+000	4.514507e+000
1.209490e+000	4.515260e+000
1.209763e+000	4.516063e+000
1.210000e+000	4.516760e+000
1.211000e+000	4.519676e+000
1.212000e+000	4.522587e+000
1.213000e+000	4.525546e+000
1.214000e+000	4.528604e+000
1.215000e+000	4.531807e+000
1.216000e+000	4.535181e+000
1.217000e+000	4.538737e+000
1.218000e+000	4.542478e+000
1.219000e+000	4.546406e+000
1.220000e+000	4.550525e+000
1.221000e+000	4.554842e+000
1.222000e+000	4.559366e+000
1.223000e+000	4.564105e+000
1.224000e+000	4.569065e+000
1.225000e+000	4.574250e+000
1.226000e+000	4.579666e+000
1.227000e+000	4.585283e+000
1.228000e+000	4.591098e+000
1.229000e+000	4.597101e+000
1.230000e+000	4.603276e+000
1.231000e+000	4.609605e+000
1.232000e+000	4.616067e+000
1.233000e+000	4.622643e+000
1.234000e+000	4.629309e+000
1.235000e+000	4.636040e+000
1.236000e+000	4.642808e+000
1.237000e+000	4.649586e+000
1.238000e+000	4.656344e+000
1.239000e+000	4.663052e+000
1.240000e+000	4.669679e+000
1.241000e+000	4.676186e+000
1.242000e+000	4.682535e+000
1.243000e+000	4.688685e+000
1.244000e+000	4.694594e+000
1.245000e+000	4.700216e+000
1.246000e+000	4.705531e+000
1.247000e+000	4.710496e+000
1.248000e+000	4.715093e+000
1.249000e+000	4.719322e+000
1.250000e+000	4.723195e+000
1.251000e+000	4.726731e+000
1.252000e+000	4.729947e+000
1.253000e+000	4.732848e+000
1.254000e+000	4.735430e+000
1.255000e+000	4.737682e+000
1.256000e+000	4.739587e+000
1.257000e+000	4.741128e+000
1.258000e+000	4.742308e+000
1.258615e+000	4.742861e+000
1.259000e+000	4.743145e+000
1.260000e+000	4.743682e+000
1.261000e+000	4.744000e+000
1.262000e+000	4.744144e+000
1.263000e+000	4.744146e+000
1.264000e+000	4.744028e+000
1.265000e+000	4.743798e+000
1.266000e+000	4.743466e+000
1.267000e+000	4.743042e+000
1.268000e+000	4.742537e+000
1.269000e+000	4.741964e+000
1.270000e+000	4.741345e+000
1.271000e+000	4.740693e+000
1.272000e+000	4.740013e+000
1.273000e+000	4.739309e+000
1.274000e+000	4.738579e+000
1.275000e+000	4.737820e+000
1.276000e+000	4.737024e+000
1.277000e+000	4.736181e+000
1.278000e+000	4.735281e+000
1.279000e+000	4.734312e+000
1.280000e+000	4.733260e+000
1.281000e+000	4.732112e+000
1.282000e+000	4.730853e+000
1.283000e+000	4.729467e+000
1.284000e+000	4.727935e+000
1.285000e+000	4.726230e+000
1.286000e+000	4.724327e+000
1.287000e+000	4.722197e+000
1.288000e+000	4.719803e+000
1.289000e+000	4.717133e+000
1.290000e+000	4.714151e+000
1.291000e+000	4.710839e+000
1.292000e+000	4.707192e+000
1.293000e+000	4.703223e+000
1.294000e+000	4.698959e+000
1.295000e+000	4.694428e+000
1.296000e+000	4.689654e+000
1.297000e+000	4.684649e+000
1.298000e+000	4.679417e+000
1.299000e+000	4.673954e+000
1.300000e+000	4.668253e+000
1.301000e+000	4.662333e+000
1.302000e+000	4.656229e+000
1.303000e+000	4.650010e+000
1.304000e+000	4.643761e+000
1.305000e+000	4.637543e+000
1.305545e+000	4.634186e+000
1.305817e+000	4.632518e+000
1.306000e+000	4.631401e+000
1.307000e+000	4.625362e+000
1.308000e+000	4.619443e+000
1.309000e+000	4.613662e+000
1.310000e+000	4.608037e+000
1.310609e+000	4.604700e+000
1.311000e+000	4.602598e+000
1.312000e+000	4.597379e+000
1.313000e+000	4.592363e+000
1.314000e+000	4.587591e+000
1.315000e+000	4.583070e+000
1.316000e+000	4.578806e+000
1.317000e+000	4.574803e+000
1.318000e+000	4.571055e+000
1.319000e+000	4.567557e+000
1.320000e+000	4.564298e+000
1.321000e+000	4.561270e+000
1.322000e+000	4.558458e+000
1.323000e+000	4.555847e+000
1.324000e+000	4.553423e+000
1.325000e+000	4.551166e+000
1.326000e+000	4.549057e+000
1.327000e+000	4.547068e+000
1.328000e+000	4.545169e+000
1.329000e+000	4.543328e+000
1.330000e+000	4.541507e+000
