m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,17469	1,79992	0,65057	-0,12000	0,10682	-0,03996	0,41402	0,12815	-0,03164	0,33313
0,04328	2,10542	1,28135	0,05232	-0,04463	-0,03664	0,68507	-0,00064	-0,01120	0,62758
0,15682	2,31255	1,68544	0,18619	0,12895	-0,03779	0,88329	0,18642	-0,00876	0,86686
0,17573	2,47328	2,02755	0,25990	0,08066	-0,07379	0,85548	0,11642	-0,05902	0,74142
0,06424	2,44555	2,02719	0,27166	-0,02061	-0,00140	0,84790	0,01547	0,03517	0,86209
0,21365	2,38669	1,84086	0,21420	0,14159	-0,03255	0,63071	0,19905	-0,02081	0,55565
0,12828	2,18122	1,45461	0,10005	-0,02288	-0,00779	0,41036	0,00103	0,02215	0,40429
0,02161	1,93747	0,90508	-0,05848	-0,05626	0,00319	0,09696	-0,06614	0,02848	0,05892
0,21898	1,67732	0,31826	-0,23970	0,11049	0,00000	-0,17193	0,15677	0,00535	-0,17791
0,08615	1,39263	-0,21982	-0,42374	-0,11846	-0,00638	-0,43804	-0,12531	0,01619	-0,44142
0,05104	1,17943	-0,69677	-0,58937	-0,07433	0,00077	-0,65182	-0,10920	0,01546	-0,69217
0,21760	0,97909	-1,08750	-0,71559	0,03249	0,01800	-0,72325	0,05789	0,02763	-0,68057
0,11031	0,89839	-1,18982	-0,79636	-0,15714	0,01430	-0,83361	-0,17649	0,02130	-0,90128
0,11164	0,84589	-1,30258	-0,81592	-0,05487	0,03383	-0,72578	-0,09076	0,05416	-0,70391
0,18833	0,88698	-1,23266	-0,77785	0,01087	0,02655	-0,64727	0,02875	0,02580	-0,68018
0,05078	1,01109	-0,98917	-0,68407	-0,12617	0,02094	-0,47597	-0,12918	0,03602	-0,52600
0,11622	1,14643	-0,72443	-0,54116	0,03148	0,01277	-0,22111	0,02836	0,03298	-0,20730
0,13471	1,39753	-0,18784	-0,36837	-0,01138	-0,03128	-0,02946	0,01018	-0,02702	-0,12041
0,05240	1,62469	0,30182	-0,17677	-0,04058	0,00562	0,31630	-0,01083	0,04199	0,32617
0,18195	1,93339	0,93122	0,00578	0,13186	-0,03460	0,55701	0,16450	-0,02665	0,49531
0,10758	2,23711	1,58370	0,15914	0,00278	-0,03013	0,79278	0,04022	-0,00925	0,71912
0,11289	2,43529	1,99404	0,26312	0,07294	-0,02208	1,00150	0,12905	0,01521	0,99539
