m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,11661	2,02242	1,05346	-0,06003	0,00063	-0,00115	-0,18584	-0,02295	0,01996	-0,22290
0,19971	1,49060	-0,05661	-0,54457	0,00645	0,00357	-0,70441	0,03764	0,01010	-0,68199
0,06151	0,97151	-1,10677	-1,01355	-0,17484	0,02591	-1,13424	-0,20782	0,05209	-1,11000
0,06477	0,57563	-1,96880	-1,43064	-0,10859	0,00587	-1,54030	-0,18152	0,00365	-1,60313
0,14302	0,20180	-2,74169	-1,75666	-0,09380	0,05042	-1,64725	-0,09695	0,06596	-1,55117
0,04667	0,04273	-3,05620	-1,97678	-0,22199	0,02106	-1,79238	-0,27383	0,02191	-1,89126
0,06422	-0,05190	-3,23620	-2,06323	-0,11340	0,04864	-1,64586	-0,18758	0,05890	-1,61576
0,13586	0,03333	-3,07490	-2,01914	-0,07876	0,05272	-1,41362	-0,09179	0,05574	-1,42689
0,03654	0,29599	-2,55060	-1,85256	-0,15979	0,02030	-1,08051	-0,17572	0,02848	-1,17202
0,10568	0,59536	-1,87885	-1,57689	-0,00455	0,02234	-0,53109	-0,03004	0,05148	-0,48384
0,13490	1,11120	-0,77557	-1,23410	-0,02351	-0,02349	-0,10948	-0,01276	-0,02410	-0,25565
0,07695	1,59651	0,23732	-0,84903	-0,02187	-0,00498	0,53640	0,02978	0,03590	0,53876
0,19914	2,09893	1,32659	-0,47004	0,15752	-0,04813	0,94701	0,19738	-0,03736	0,85191
0,09466	2,58096	2,29451	-0,13176	0,01820	-0,04481	1,31502	0,06936	-0,01497	1,21495
0,13169	2,85904	2,87396	0,13385	0,13249	-0,02502	1,59289	0,22097	0,02276	1,59114
0,21557	3,08076	3,35529	0,29283	0,16738	-0,08693	1,52070	0,23592	-0,07923	1,37197
0,06406	3,06216	3,30841	0,34216	0,01403	-0,02119	1,48101	0,06266	0,02848	1,50050
0,17219	2,95781	3,00620	0,27182	0,14918	-0,06779	1,17178	0,22149	-0,04150	1,09273
0,20299	2,68893	2,49690	0,09864	0,08141	-0,03689	0,80150	0,15032	-0,01594	0,77584
0,04451	2,30891	1,69758	-0,15615	-0,05335	-0,00294	0,34601	-0,05995	0,02641	0,33983
0,17563	1,92471	0,79349	-0,46328	0,07712	-0,01953	-0,12680	0,10520	-0,00840	-0,16283
0,12716	1,44635	-0,12299	-0,78645	-0,08141	0,00766	-0,53690	-0,06098	0,02823	-0,49531
0,03339	1,06823	-0,95503	-1,09634	-0,13072	0,01034	-0,96509	-0,18513	0,02227	-1,01770
0,14961	0,71503	-1,71695	-1,35494	-0,02187	0,02170	-1,14688	-0,03094	0,04016	-1,08809
0,10570	0,47174	-2,14797	-1,54447	-0,13704	0,03779	-1,36925	-0,14246	0,02982	-1,41464
0,03779	0,34167	-2,46844	-1,63876	-0,15625	0,03204	-1,35459	-0,21994	0,04917	-1,35947
0,15018	0,28805	-2,54510	-1,62905	-0,03540	0,04698	-1,22121	-0,05105	0,06158	-1,19625
0,09773	0,43974	-2,20682	-1,51938	-0,13476	0,02068	-1,06129	-0,13691	0,01716	-1,15010
0,05815	0,61026	-1,85635	-1,31122	-0,06662	0,02668	-0,66332	-0,08754	0,05367	-0,63068
0,14180	0,94633	-1,16109	-1,03155	0,01947	-0,02757	-0,33931	0,01908	-0,02142	-0,42660
0,07320	1,30984	-0,35651	-0,69945	-0,06068	0,00421	0,11239	-0,01856	0,02641	0,07993
0,14281	1,71297	0,46102	-0,34623	0,09279	-0,03523	0,54221	0,12467	-0,01022	0,51542
0,13565	2,15560	1,38130	-0,00652	0,05904	-0,04060	0,89315	0,09772	-0,01740	0,79170
0,06643	2,50292	2,12742	0,29191	0,03552	-0,01889	1,23360	0,09978	0,01752	1,20760
0,23109	2,80826	2,75547	0,51433	0,21036	-0,05311	1,38442	0,29613	-0,04162	1,31357
0,12721	2,96901	3,11021	0,64143	0,03274	-0,06396	1,39959	0,08122	-0,03152	1,32620
0,12057	2,92063	2,98016	0,66442	0,10531	-0,03677	1,25054	0,16901	-0,00487	1,21843
0,21253	2,72857	2,54698	0,58406	0,14955	-0,07289	0,87925	0,22548	-0,06925	0,82354
0,05307	2,38635	1,81466	0,42088	-0,06726	-0,01711	0,47041	-0,05402	0,01911	0,45831
0,13513	1,96625	0,92417	0,20101	0,03034	-0,01634	0,00898	0,03236	0,01509	-0,00374
0,23279	1,52214	0,07612	-0,04301	0,02667	0,02515	-0,43311	0,07000	0,03639	-0,41345
0,06701	1,17539	-0,65893	-0,27896	-0,16435	0,02719	-0,74449	-0,20614	0,05902	-0,74052
0,14917	0,93688	-1,20742	-0,47871	0,00063	0,02732	-0,91288	-0,02114	0,04369	-0,91482
0,18260	0,79049	-1,47724	-0,62404	-0,03957	0,01608	-0,96306	-0,02011	0,02032	-0,94834
0,03276	0,77169	-1,54953	-0,70598	-0,16839	-0,00204	-0,94360	-0,20369	0,01473	-0,98818
0,13786	0,78292	-1,50159	-0,71720	0,00518	-0,00983	-0,79240	-0,01921	0,00462	-0,78293
0,14729	0,89747	-1,23792	-0,66572	-0,05411	0,01455	-0,64133	-0,03017	0,01679	-0,67593
0,05201	1,07000	-0,88375	-0,55767	-0,10885	0,00536	-0,39607	-0,12299	0,03335	-0,43085
0,18638	1,27477	-0,43089	-0,40652	0,08280	0,01838	-0,09848	0,08715	0,03712	-0,09424
0,08445	1,57214	0,18159	-0,23492	-0,07105	-0,00549	0,12187	-0,05054	0,00694	0,01972
0,07039	1,81690	0,63086	-0,05608	0,03679	0,00511	0,49127	0,07336	0,04868	0,52380
0,19896	2,10945	1,28339	0,09827	0,12478	-0,06728	0,63501	0,15238	-0,06085	0,52870
0,05802	2,31674	1,75474	0,21498	-0,03704	-0,03357	0,82211	0,00425	-0,00560	0,78745
0,18294	2,42490	1,95005	0,27597	0,14273	-0,05694	0,88494	0,20382	-0,03322	0,85990
0,18083	2,46773	2,03492	0,26995	0,06346	-0,06281	0,74980	0,10210	-0,04880	0,65234
0,04029	2,31844	1,76396	0,20293	-0,04602	-0,00077	0,63033	-0,03236	0,03493	0,65182
0,17823	2,17813	1,34344	0,07671	0,12440	-0,02374	0,32288	0,17108	-0,02020	0,25088
0,10919	1,90438	0,80299	-0,08732	-0,04298	0,00715	0,08900	-0,02385	0,03712	0,11590
0,02966	1,63497	0,25492	-0,27409	-0,08053	0,00740	-0,25221	-0,10752	0,02763	-0,29845
0,22680	1,36424	-0,29750	-0,45690	0,07433	0,00817	-0,46737	0,10662	0,01619	-0,44581
0,10529	1,13596	-0,78070	-0,61909	-0,11997	0,00038	-0,67571	-0,12479	0,01825	-0,67683
0,03177	0,98625	-1,13648	-0,74248	-0,10961	-0,00664	-0,80770	-0,15625	0,00657	-0,84804
0,16852	0,85359	-1,39609	-0,81045	0,02136	0,02081	-0,77002	0,03777	0,03760	-0,71744
0,06760	0,86482	-1,34570	-0,82387	-0,12288	0,01302	-0,79606	-0,13498	0,01533	-0,87679
0,07292	0,90000	-1,26271	-0,77250	-0,05360	0,03051	-0,58532	-0,08199	0,05562	-0,55101
0,19599	1,03385	-0,93169	-0,66876	0,01896	0,00409	-0,44576	0,03184	0,00840	-0,50253
0,07445	1,22023	-0,56169	-0,51924	-0,09848	0,00945	-0,21226	-0,08999	0,02969	-0,25294
0,12380	1,40880	-0,20466	-0,33731	0,04425	-0,01213	0,06915	0,05363	0,01533	0,07787
0,13000	1,69396	0,40000	-0,14581	0,00670	-0,04187	0,25676	0,02810	-0,02799	0,14813
0,10401	1,91500	0,90083	0,04323	0,00417	0,00370	0,58899	0,04796	0,04722	0,61585
0,21208	2,20500	1,49578	0,19946	0,13717	-0,04979	0,74486	0,17933	-0,04126	0,66330
0,11880	2,44125	1,98919	0,30812	0,00721	-0,02732	0,92577	0,04383	0,00292	0,86802
0,12333	2,55953	2,20214	0,35224	0,07598	-0,03421	1,02817	0,13124	0,00986	1,02556
0,20703	2,63128	2,39073	0,31556	0,12553	-0,05936	0,90542	0,18500	-0,05829	0,81039
0,06862	2,56443	2,22750	0,20257	-0,02642	-0,02323	0,80555	-0,00696	0,01448	0,79969
0,15513	2,39589	1,81945	0,01496	0,09570	-0,02949	0,53299	0,14039	-0,00657	0,49364
0,16979	2,12018	1,28924	-0,23056	0,02440	-0,03906	0,18103	0,06562	-0,02519	0,15406
0,04276	1,77573	0,57990	-0,51071	-0,09229	0,01902	-0,16333	-0,11152	0,04807	-0,15715
0,13945	1,45417	-0,18409	-0,80051	0,01934	-0,01200	-0,52047	0,02114	-0,00024	-0,54959
0,12255	1,08958	-0,87680	-1,07207	-0,06991	0,02464	-0,79328	-0,05183	0,03846	-0,75947
-0,02281	0,85042	-1,42831	-1,30337	-0,17825	0,01111	-1,03348	-0,23889	0,02860	-1,08010
0,11586	0,64521	-1,88190	-1,46829	0,00228	0,04391	-1,08316	-0,00413	0,05878	-1,04915
0,09560	0,56174	-1,97828	-1,55910	-0,10847	0,02119	-1,10807	-0,11319	0,02373	-1,13682
0,00583	0,59424	-1,91159	-1,56597	-0,15588	0,02553	-0,97482	-0,19338	0,04223	-1,00558
0,13607	0,67909	-1,72839	-1,48929	0,01580	0,00013	-0,75169	0,00464	0,01655	-0,75302
0,06185	0,86224	-1,31086	-1,34297	-0,09380	0,01634	-0,55321	-0,07722	0,01850	-0,61766
0,05039	1,10237	-0,85440	-1,13604	-0,04968	-0,00945	-0,19759	-0,05350	0,02178	-0,20524
0,17805	1,37857	-0,22255	-0,89314	0,06801	-0,00728	0,07674	0,09063	0,00779	0,01818
0,04638	1,70154	0,41742	-0,63468	-0,05815	-0,01404	0,39860	-0,02746	0,01241	0,34486
0,13021	1,99862	1,02122	-0,38357	0,10379	-0,00345	0,73766	0,16089	0,03042	0,72930
0,15464	2,31909	1,72990	-0,16914	0,06220	-0,06128	0,89632	0,09153	-0,04016	0,77107
0,07583	2,49224	2,13289	-0,00620	0,01972	-0,00089	1,08658	0,07722	0,03846	1,08860
0,21805	2,63029	2,36508	0,08213	0,17092	-0,05745	1,06218	0,24005	-0,04466	0,98792
0,11453	2,62659	2,36214	0,09134	0,01239	-0,04353	0,95674	0,05453	-0,00998	0,89561
0,08000	2,47953	2,03872	0,02393	0,03198	-0,02974	0,77192	0,06304	0,01059	0,77288
0,23693	2,29766	1,67289	-0,11421	0,12781	-0,04123	0,43109	0,19415	-0,04162	0,36394
0,06891	2,00198	1,04333	-0,30031	-0,09090	-0,01736	0,13122	-0,09334	0,01740	0,12737
0,11000	1,66523	0,32747	-0,51339	0,00152	0,00638	-0,22604	-0,00206	0,03359	-0,24276
0,24328	1,34211	-0,28560	-0,72769	0,03401	-0,00421	-0,54664	0,06807	-0,00097	-0,54417
0,03539	1,07138	-0,93818	-0,91885	-0,16447	0,02553	-0,77432	-0,19119	0,05294	-0,78874
0,06677	0,83823	-1,45263	-1,06303	-0,03704	0,01391	-0,95257	-0,07477	0,02483	-0,97038
0,17526	0,67328	-1,73875	-1,14346	-0,02882	0,03460	-1,00112	-0,01199	0,03992	-0,97760
0,02844	0,63885	-1,83622	-1,15190	-0,17977	0,00460	-0,99202	-0,21555	0,02227	-1,05276
0,10990	0,64565	-1,80021	-1,07822	-0,00430	0,02732	-0,82464	-0,02527	0,04552	-0,80201
0,15453	0,80505	-1,44487	-0,93304	-0,03009	0,01021	-0,62173	-0,02192	0,01679	-0,66549
0,06721	1,05586	-0,90807	-0,72583	-0,09835	0,01353	-0,28963	-0,09888	0,04211	-0,32320
0,19133	1,35326	-0,27703	-0,47555	0,08761	-0,00945	0,07851	0,09940	0,00925	0,06278
0,10112	1,72281	0,49099	-0,21032	-0,01732	-0,02655	0,36282	0,01315	-0,01813	0,25591
0,10221	2,01036	1,05357	0,05153	0,04753	-0,02247	0,71263	0,08921	0,01485	0,70777
0,21167	2,24094	1,59081	0,27838	0,13691	-0,05553	0,80656	0,18294	-0,04673	0,71022
0,07672	2,38552	1,88060	0,45794	-0,01909	-0,03179	0,89809	0,01444	-0,00231	0,85075
0,15281	2,41497	1,88320	0,57787	0,12541	-0,01570	0,90959	0,18487	0,02288	0,89974
0,18094	2,40831	1,90346	0,62977	0,07573	-0,05349	0,73614	0,11590	-0,03773	0,64602
0,05180	2,32021	1,72255	0,62149	-0,03679	0,01660	0,67458	-0,01805	0,05866	0,70378
0,22953	2,26367	1,56716	0,55102	0,15107	-0,03064	0,49531	0,19918	-0,01460	0,43717
0,17240	2,12891	1,33982	0,43081	0,00657	-0,03153	0,33767	0,04048	-0,00450	0,32140
0,04682	1,95646	0,94995	0,27122	-0,05019	-0,02566	0,11858	-0,06394	0,00158	0,09050
0,21362	1,76794	0,51091	0,08634	0,11340	-0,02464	-0,09317	0,15483	-0,01521	-0,10816
0,08745	1,53234	0,07706	-0,10797	-0,11226	-0,01736	-0,32819	-0,11010	0,00426	-0,34061
0,04081	1,33049	-0,39456	-0,29332	-0,07598	0,01226	-0,51744	-0,11281	0,03773	-0,53450
0,22333	1,13971	-0,76534	-0,45262	0,05739	0,02808	-0,62881	0,07568	0,03858	-0,60876
0,06107	1,03003	-0,96648	-0,57640	-0,15840	0,02515	-0,74663	-0,17546	0,03992	-0,79956
0,06857	0,96297	-1,16422	-0,64961	-0,04387	0,03511	-0,66320	-0,07851	0,06401	-0,62926
0,19516	1,00630	-1,04094	-0,67562	0,02592	0,00357	-0,62338	0,04048	0,00462	-0,67709
0,04570	1,09997	-0,83414	-0,65287	-0,13729	-0,00523	-0,44803	-0,14400	0,01740	-0,46888
0,09630	1,21706	-0,61271	-0,58877	0,01150	-0,01226	-0,27382	0,00464	0,00657	-0,29407
0,18378	1,38292	-0,19865	-0,49586	0,02250	-0,02196	-0,12124	0,04267	-0,01509	-0,18758
0,04240	1,52813	0,07510	-0,38255	-0,07838	0,00306	0,09608	-0,06394	0,03468	0,08109
0,14906	1,69453	0,39734	-0,26517	0,08988	-0,01366	0,20189	0,10584	-0,00438	0,13678
0,10523	1,82495	0,67753	-0,15335	-0,01264	-0,00332	0,34753	0,01147	0,02373	0,31921
0,03297	1,92680	0,86807	-0,05917	-0,02276	-0,01379	0,40834	-0,00168	0,01558	0,35337
0,19305	1,98750	1,02552	0,01055	0,12819	-0,02464	0,44841	0,16914	-0,00961	0,42505
0,08401	2,02839	1,10781	0,04834	-0,04134	-0,02694	0,41099	-0,02669	-0,00341	0,34860
0,09466	2,01609	1,02198	0,05568	0,03249	-0,02847	0,40543	0,05853	0,00937	0,39192
0,22081	1,95615	0,97070	0,03062	0,09456	-0,02770	0,28103	0,13820	-0,01594	0,24276
0,04844	1,89224	0,82263	-0,02173	-0,08824	-0,01443	0,16548	-0,09759	0,01314	0,12183
0,13112	1,77326	0,51044	-0,09224	0,06574	0,00140	0,09873	0,08625	0,03505	0,11139
0,17091	1,66870	0,35563	-0,17763	0,00619	-0,01443	-0,10442	0,02798	-0,00682	-0,17804
0,05573	1,52406	0,05813	-0,26174	-0,08849	0,02374	-0,17357	-0,10920	0,05720	-0,15651
0,17003	1,42357	-0,21081	-0,33914	0,05032	-0,01494	-0,29329	0,05995	0,00134	-0,32436
0,14036	1,33703	-0,31768	-0,40053	-0,05562	0,00460	-0,35612	-0,03610	0,01898	-0,37954
0,05943	1,29852	-0,42685	-0,43870	-0,08293	-0,00460	-0,31529	-0,11203	0,03225	-0,31018
0,18646	1,34742	-0,31828	-0,45505	0,06068	-0,00574	-0,26599	0,08277	0,00389	-0,29897
0,11534	1,43964	-0,08839	-0,45132	-0,06093	-0,00255	-0,14564	-0,04744	0,01546	-0,17546
0,08961	1,55378	0,08456	-0,43405	-0,01201	0,00038	0,01188	-0,01779	0,03578	-0,00052
0,17885	1,67625	0,40464	-0,41430	0,05929	-0,02387	0,10935	0,08547	-0,01253	0,06420
0,06828	1,81211	0,64057	-0,39988	-0,05575	-0,01098	0,22237	-0,03133	0,01436	0,18049
0,11518	1,87557	0,75068	-0,39885	0,05411	-0,02196	0,30429	0,07232	0,00462	0,28904
0,13385	1,91172	0,87956	-0,41993	0,01820	-0,03843	0,25903	0,04577	-0,02154	0,19132
0,04802	1,89148	0,81331	-0,46155	-0,04602	-0,00638	0,25221	-0,03287	0,02519	0,23747
0,18354	1,83945	0,69589	-0,52469	0,09254	-0,00562	0,15828	0,12467	0,01071	0,13021
0,10896	1,76060	0,54672	-0,60516	-0,05145	-0,02260	0,03906	-0,03919	0,00231	-0,00593
0,03786	1,64482	0,28690	-0,69362	-0,06068	0,00345	-0,04791	-0,06420	0,03590	-0,05389
0,20167	1,54839	0,08068	-0,78434	0,08559	-0,00932	-0,16435	0,11242	0,00061	-0,19054
0,07706	1,46065	-0,08427	-0,86940	-0,10278	-0,00715	-0,24298	-0,10520	0,01886	-0,26803
0,06094	1,38914	-0,27930	-0,94000	-0,03388	-0,00409	-0,29001	-0,04886	0,02008	-0,31070
0,19523	1,31518	-0,39289	-0,99061	0,05385	-0,00587	-0,33931	0,08406	0,00389	-0,35195
0,06576	1,27068	-0,46362	-1,01749	-0,11732	-0,00255	-0,36687	-0,12686	0,01923	-0,40623
0,09844	1,23526	-0,53089	-1,01445	-0,02035	0,00281	-0,33628	-0,03984	0,02665	-0,34499
0,18362	1,24005	-0,49898	-0,98232	0,01226	-0,00064	-0,31972	0,03648	0,00876	-0,35234
0,07526	1,29859	-0,39924	-0,92152	-0,08900	0,01570	-0,22098	-0,08960	0,04162	-0,24675
0,12893	1,38445	-0,24672	-0,83586	0,03464	0,00894	-0,08432	0,03661	0,03529	-0,09566
0,13995	1,52594	0,09120	-0,73532	-0,01049	-0,01251	0,02541	0,02230	0,00134	-0,03520
0,07872	1,66070	0,33404	-0,62680	-0,02238	-0,00064	0,20278	-0,00761	0,03055	0,18320
0,14755	1,79120	0,59211	-0,52373	0,07080	-0,03025	0,30138	0,09605	-0,01071	0,26042
0,08927	1,90063	0,87151	-0,43566	-0,02592	-0,03804	0,36750	0,00735	-0,01765	0,30503
0,11729	1,96711	0,95878	-0,36819	0,04892	-0,01008	0,45372	0,08212	0,02604	0,44993
0,15622	2,00510	1,05318	-0,33167	0,06978	-0,03970	0,39051	0,10017	-0,02714	0,32578
0,02214	1,98849	0,98479	-0,32387	-0,05398	-0,00664	0,34576	-0,03442	0,01935	0,30825
0,14128	1,90302	0,79289	-0,34264	0,07661	-0,00638	0,27597	0,10481	0,02690	0,27769
0,15219	1,81214	0,68198	-0,38698	-0,00076	-0,03038	0,09001	0,02798	-0,01923	0,03287
0,05107	1,70180	0,41073	-0,44359	-0,06422	-0,00153	0,00101	-0,06962	0,02872	-0,01457
0,18799	1,55992	0,11086	-0,50465	0,07193	-0,00677	-0,13375	0,09489	0,01473	-0,14388
0,13753	1,42854	-0,11844	-0,56137	-0,05487	-0,02336	-0,29279	-0,03674	-0,00974	-0,33261
0,06055	1,31466	-0,39867	-0,60028	-0,07509	0,01008	-0,34563	-0,09682	0,04223	-0,34370
0,19604	1,24289	-0,55708	-0,61539	0,04273	-0,00766	-0,40366	0,05892	0,00633	-0,42776
0,10021	1,20719	-0,58664	-0,60119	-0,09039	0,00345	-0,38811	-0,07529	0,02166	-0,40030
0,06945	1,25315	-0,55318	-0,55574	-0,03300	0,01060	-0,30417	-0,05866	0,03675	-0,33274
0,17568	1,32984	-0,37135	-0,48134	0,04652	-0,00255	-0,18723	0,07426	0,01436	-0,19815
0,11943	1,44753	-0,05125	-0,38659	-0,05790	-0,00996	-0,08546	-0,03378	0,00377	-0,14478
0,15383	1,55440	0,13107	-0,27584	0,02478	-0,01340	0,05588	0,01895	0,01533	0,03159
0,16625	1,60526	0,26792	-0,15907	0,01820	-0,04111	0,09469	0,05041	-0,02300	0,05556
0,08714	1,67529	0,39367	-0,04159	-0,04602	-0,01302	0,14172	-0,02630	0,01083	0,09128
0,16424	1,71112	0,39682	0,07383	0,08116	0,00932	0,22705	0,09669	0,04393	0,23515
0,11362	1,77555	0,56701	0,17706	-0,02200	-0,02770	0,21137	0,00413	-0,00487	0,13936
0,09461	1,85029	0,74065	0,26855	-0,00139	0,01570	0,34462	0,02669	0,05123	0,35363
0,21974	1,97526	0,98552	0,33624	0,11795	-0,03485	0,41794	0,15174	-0,01375	0,38264
0,10195	2,08354	1,26128	0,37290	-0,04260	-0,04749	0,45726	-0,00593	-0,02385	0,39089
0,11539	2,12833	1,27555	0,37508	0,06700	-0,03766	0,51402	0,09385	-0,00085	0,51220
0,19214	2,12349	1,27471	0,33420	0,09519	-0,05298	0,40189	0,14748	-0,04332	0,34564
0,04281	2,05234	1,13672	0,25526	-0,07927	-0,02923	0,29671	-0,06652	0,00024	0,26429
0,15167	1,92021	0,83065	0,14458	0,06839	0,01072	0,17560	0,08367	0,04734	0,17636
0,17714	1,76555	0,58016	0,00915	0,00468	-0,01940	-0,05929	0,03391	-0,01144	-0,10314
0,03750	1,59956	0,20315	-0,13496	-0,10316	0,02502	-0,19519	-0,10623	0,05501	-0,19776
0,15883	1,45797	-0,17458	-0,27637	0,05904	0,00217	-0,30252	0,05930	0,02957	-0,30348
0,13445	1,33268	-0,33745	-0,40560	-0,05246	-0,01481	-0,44613	-0,01960	-0,01022	-0,47946
0,04240	1,26898	-0,53393	-0,51026	-0,09734	-0,00945	-0,45410	-0,12235	0,01473	-0,46308
0,15331	1,20734	-0,68167	-0,58516	0,02933	0,00204	-0,48545	0,03700	0,01619	-0,51452
0,09971	1,16521	-0,69211	-0,62617	-0,08230	-0,00779	-0,48608	-0,06755	-0,00037	-0,50266
0,06365	1,18578	-0,68997	-0,63123	-0,06966	0,02668	-0,42174	-0,08380	0,04710	-0,45548
0,17943	1,20523	-0,59448	-0,60025	0,02895	0,00498	-0,34513	0,03004	0,01850	-0,36407
0,07729	1,27120	-0,44997	-0,53829	-0,07813	0,02145	-0,25511	-0,05402	0,03310	-0,29304
0,07784	1,39237	-0,29008	-0,44938	-0,00367	-0,00562	-0,10796	-0,00851	0,01947	-0,14645
0,15432	1,48177	-0,02203	-0,34182	0,03262	-0,01430	0,02440	0,06356	0,00487	0,01457
0,07490	1,64367	0,32794	-0,22780	-0,05916	-0,03613	0,12516	-0,04177	-0,02020	0,04009
0,15958	1,75362	0,52763	-0,11236	0,07244	0,00051	0,32452	0,10468	0,03529	0,34654
0,14339	1,88604	0,83310	-0,01353	0,00948	-0,04864	0,33628	0,03236	-0,03262	0,24314
0,08766	1,97602	1,01563	0,06633	-0,00746	0,01226	0,44639	0,02720	0,04016	0,43124
0,19411	2,02781	1,07734	0,11684	0,10556	-0,02196	0,47091	0,14491	0,00170	0,45200
0,09237	2,05154	1,17740	0,13243	-0,05297	-0,03664	0,37686	-0,02359	-0,01728	0,29084
0,10500	1,98336	1,01430	0,11888	0,03173	-0,00217	0,36889	0,04731	0,03286	0,38857
0,19544	1,92065	0,86534	0,07237	0,07358	-0,03434	0,19481	0,11745	-0,02909	0,13421
0,06932	1,82049	0,68385	0,00421	-0,08533	-0,02030	0,11327	-0,07078	0,00949	0,10082
0,12661	1,73188	0,43159	-0,08005	0,04134	0,00204	0,03957	0,04718	0,03091	0,03455
0,16836	1,67703	0,34906	-0,17617	0,02427	-0,02119	-0,05980	0,05737	-0,01728	-0,09695
0,04055	1,63536	0,26784	-0,27606	-0,09267	0,00536	-0,07813	-0,09269	0,03262	-0,09514
0,12307	1,61292	0,13841	-0,37699	0,05234	-0,00677	-0,08521	0,05415	0,01825	-0,10288
0,13398	1,56789	0,16826	-0,47763	-0,02592	-0,01634	-0,13792	0,01109	-0,00645	-0,16773
0,04951	1,56872	0,11938	-0,57396	-0,06839	0,00268	-0,14551	-0,07645	0,02324	-0,18603
0,14914	1,51698	-0,00638	-0,66272	0,04589	-0,00191	-0,15234	0,05582	0,01996	-0,15561
0,11068	1,46924	-0,01211	-0,74441	-0,08192	-0,02119	-0,23565	-0,05621	-0,01144	-0,28440
0,07862	1,43719	-0,13740	-0,81191	-0,04867	0,01187	-0,22174	-0,05492	0,03760	-0,23657
0,18565	1,39094	-0,23430	-0,86393	0,04892	-0,01251	-0,25107	0,05917	0,00049	-0,26944
0,07576	1,37755	-0,23333	-0,89902	-0,11175	-0,00881	-0,27243	-0,09244	0,00621	-0,31598
0,10190	1,37240	-0,27982	-0,91265	-0,01024	0,00970	-0,20531	-0,01985	0,03627	-0,21091
0,20781	1,39276	-0,17208	-0,90848	0,03224	-0,00409	-0,18040	0,05273	0,00706	-0,21104
0,06115	1,44932	-0,03966	-0,88802	-0,10885	-0,00766	-0,11744	-0,09695	0,00961	-0,16515
0,13359	1,51594	0,02411	-0,85300	0,04172	0,00498	-0,00493	0,05144	0,02896	-0,01740
0,18070	1,56820	0,20844	-0,81159	0,00847	-0,02962	0,00771	0,03507	-0,01838	-0,04757
0,04805	1,62034	0,28172	-0,76577	-0,07724	-0,00357	0,07016	-0,06356	0,02203	0,03726
0,14714	1,65294	0,27461	-0,71929	0,07585	-0,01532	0,11593	0,09514	0,00718	0,09244
0,10977	1,67193	0,36167	-0,67653	-0,03616	-0,02796	0,09456	-0,00322	-0,00961	0,04267
0,03839	1,83661	0,51117	-0,64058	-0,05765	0,01417	0,50922	-0,03726	0,12340	0,62784
0,10880	2,34424	1,84763	-0,64987	0,07016	0,01749	0,91844	0,10984	0,03128	0,85693
0,14773	3,14747	3,42680	-0,73298	0,13148	-0,02298	1,56318	0,20485	-0,00901	1,45061
0,21346	3,65109	4,51617	-0,93468	0,22048	-0,08400	2,12840	0,33893	-0,02531	2,18030
0,16505	4,12789	5,50518	-1,31387	0,15335	-0,22532	2,16911	0,26248	-0,21431	1,98654
0,17229	4,24505	5,86346	-1,88849	0,22857	-0,14834	2,17328	0,33455	-0,15054	2,18095
0,15076	3,89435	4,99188	-2,66505	0,05082	-0,19455	1,18392	0,09888	-0,22173	0,87215
-0,09091	2,63284	2,43573	-3,57680	-0,23122	0,08987	0,13451	-0,23580	0,14433	0,34383
